result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LHD cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRU cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LeCaR cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst Cacheus cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size   122507, 130508903 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size   367522, 130508903 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1225073, 130508903 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size  3675220, 130508903 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size 12250733, 130508903 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size 24501467, 130508903 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size 49002935, 130508903 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size 98005871, 130508903 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   122507, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   367522, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1225073, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3675220, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 12250733, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 24501467, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 49002935, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
result/prediction_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 98005871, 130508903 req, miss ratio 0.9387, byte miss ratio 0.9387
