result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LIRS cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst clock2 cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst Clock cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst ARC cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst LRB cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst TwoQ cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size   122292, 130279036 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size   366877, 130279036 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1222925, 130279036 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size  3668777, 130279036 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size 12229259, 130279036 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size 24458519, 130279036 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size 48917039, 130279036 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst B-LRU cache size 97834079, 130279036 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   122292, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   366877, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1222925, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3668777, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 12229259, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 24458519, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 48917039, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 97834079, 130279036 req, miss ratio 0.9387, byte miss ratio 0.9387
