result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst ARC cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LIRS cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Clock cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst Cacheus cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LeCaR cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size   116873, 124504725 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size   350619, 124504725 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1168732, 124504725 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size  3506196, 124504725 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size 11687322, 124504725 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size 23374644, 124504725 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size 46749288, 124504725 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size 93498576, 124504725 req, miss ratio 1.0000, byte miss ratio 1.0000
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   116873, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   350619, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1168732, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3506196, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 11687322, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 23374644, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 46749288, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
result/selection_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 93498576, 124504725 req, miss ratio 0.9387, byte miss ratio 0.9387
