result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRU cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst clock2 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst LRB cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst TwoQ cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size   117451, 125129467 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size   352353, 125129467 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1174511, 125129467 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size  3523534, 125129467 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size 11745113, 125129467 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size 23490227, 125129467 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size 46980454, 125129467 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst B-LRU cache size 93960908, 125129467 req, miss ratio 1.0000, byte miss ratio 1.0000
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   117451, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   352353, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1174511, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3523534, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 11745113, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 23490227, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 46980454, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
result/prediction_from_bidder_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 93960908, 125129467 req, miss ratio 0.9386, byte miss ratio 0.9386
