cluster32.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.2000-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   355610, 366744480 req, miss ratio 0.9702, byte miss ratio 0.9702
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   355610, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size 10668310, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size 35561035, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size 71122070, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size 142244141, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size 284488283, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   355610, 366744480 req, miss ratio 0.9702, byte miss ratio 0.9702
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  1066831, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
cluster32.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  3556103, 366744480 req, miss ratio 0.9700, byte miss ratio 0.9700
