geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4000-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size    99663, 100475580 req, miss ratio 0.9923, byte miss ratio 0.9923
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    99663, 100475580 req, miss ratio 0.9923, byte miss ratio 0.9923
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
