cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size        7, 42192311 req, miss ratio 0.7158, byte miss ratio 0.7158
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size        7, 42192311 req, miss ratio 0.7820, byte miss ratio 0.7820
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size       23, 42192311 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size        7, 42192311 req, miss ratio 0.6695, byte miss ratio 0.6695
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size       23, 42192311 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size        7, 42192311 req, miss ratio 0.6695, byte miss ratio 0.6695
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size       23, 42192311 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size        7, 42192311 req, miss ratio 0.7633, byte miss ratio 0.7633
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size       23, 42192311 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size        7, 42192311 req, miss ratio 0.7226, byte miss ratio 0.7226
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size       23, 42192311 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size        7, 42192311 req, miss ratio 0.7633, byte miss ratio 0.7633
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size       23, 42192311 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size        7, 42192311 req, miss ratio 0.7262, byte miss ratio 0.7262
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size       23, 42192311 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size        7, 42192311 req, miss ratio 0.7537, byte miss ratio 0.7537
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size       23, 42192311 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size        7, 42192311 req, miss ratio 0.7537, byte miss ratio 0.7537
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size       23, 42192311 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size       78, 42192311 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size        7, 42192311 req, miss ratio 0.7820, byte miss ratio 0.7820
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size       23, 42192311 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size        7, 42192311 req, miss ratio 0.7262, byte miss ratio 0.7262
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size       23, 42192311 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size        7, 42192311 req, miss ratio 0.7537, byte miss ratio 0.7537
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size       23, 42192311 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size       78, 42192311 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size       23, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size       78, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size      234, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     1560, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size        7, 42192311 req, miss ratio 0.7262, byte miss ratio 0.7262
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size       23, 42192311 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size       23, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size       78, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size      234, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size      780, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size     1560, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size        7, 42192311 req, miss ratio 0.7158, byte miss ratio 0.7158
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size       23, 42192311 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size       78, 42192311 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size       23, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size       78, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size       23, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size       78, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size      234, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     1560, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size       23, 42192311 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size       23, 42192311 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size       78, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size      234, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     1560, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size        7, 42192311 req, miss ratio 0.7126, byte miss ratio 0.7126
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size       23, 42192311 req, miss ratio 0.0026, byte miss ratio 0.0026
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size       78, 42192311 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size      234, 42192311 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size      780, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size     1560, 42192311 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size     3120, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size     6240, 42192311 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size        7, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns1014.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size       23, 42192311 req, miss ratio 1.0000, byte miss ratio 1.0000
