cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size    25578, 140036281 req, miss ratio 0.2020, byte miss ratio 0.2020
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size    25578, 140036281 req, miss ratio 0.1842, byte miss ratio 0.1842
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size    76735, 140036281 req, miss ratio 0.1834, byte miss ratio 0.1834
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   255785, 140036281 req, miss ratio 0.1830, byte miss ratio 0.1830
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size    25578, 140036281 req, miss ratio 0.1843, byte miss ratio 0.1843
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size    76735, 140036281 req, miss ratio 0.1835, byte miss ratio 0.1835
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size   255785, 140036281 req, miss ratio 0.1830, byte miss ratio 0.1830
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    25578, 140036281 req, miss ratio 0.1841, byte miss ratio 0.1841
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    76735, 140036281 req, miss ratio 0.1834, byte miss ratio 0.1834
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   255785, 140036281 req, miss ratio 0.1830, byte miss ratio 0.1830
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size    25578, 140036281 req, miss ratio 0.1843, byte miss ratio 0.1843
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size    76735, 140036281 req, miss ratio 0.1835, byte miss ratio 0.1835
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size   255785, 140036281 req, miss ratio 0.1830, byte miss ratio 0.1830
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.5500-0.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size    25578, 140036281 req, miss ratio 0.1844, byte miss ratio 0.1844
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size    76735, 140036281 req, miss ratio 0.1836, byte miss ratio 0.1836
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   255785, 140036281 req, miss ratio 0.1831, byte miss ratio 0.1831
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst FIFO cache size    25578, 140036281 req, miss ratio 0.1873, byte miss ratio 0.1873
cdn2_sjc.ns4.oracleGeneral.bin.zst FIFO cache size    76735, 140036281 req, miss ratio 0.1850, byte miss ratio 0.1850
cdn2_sjc.ns4.oracleGeneral.bin.zst FIFO cache size   255785, 140036281 req, miss ratio 0.1838, byte miss ratio 0.1838
cdn2_sjc.ns4.oracleGeneral.bin.zst FIFO cache size   767356, 140036281 req, miss ratio 0.1832, byte miss ratio 0.1832
cdn2_sjc.ns4.oracleGeneral.bin.zst FIFO cache size  2557855, 140036281 req, miss ratio 0.1829, byte miss ratio 0.1829
cdn2_sjc.ns4.oracleGeneral.bin.zst FIFO cache size  5115711, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst FIFO cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst FIFO cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
